ID;Центр;Підрозділ;"Тип обладн.";Модель;"Сер №";"Інв №";"Наряд №";Стан;Прийняв;Подав;"Дата прийому";"Дата змін";Виконавец;"Дата видачі";Видав;Отримав;Примітка
3715;ЦТП;"ЦТЕ СС";Принтер;"Canon 1120";L10577;472053082;140611/2;"Отримано на склад";"Ткалич М.Ю.";Пушкова;11/06/2014p.;;;;;;
3707;"Цех ТП №15";Умань;Принтер;"Brother  HL 5250 DNP";E63659C8J500422;244052323;140605/3;"Отримано на склад";"Канюка Н.А.";Зарва;05/06/2014p.;;;;;;
3701;"Цех ТП №06";Камянка;Принтер;"HP Laser Jet 1320n";CNCJN18282;232052027;140604/8;"Отримано на склад";"Канюка Н.А.";Шевченко;04/06/2014p.;;;;;;
3697;"Цех ТП №01";Городище;Принтер;"HP Laser Jet 1022";VNC3N10290;234052508;140604/4;"Отримано на склад";"Канюка Н.А.";Крутогуз;04/06/2014p.;;;;;;
3682;"Цех ТП №17";"Розрахункова група";Принтер;"Brother 5250";E63659C7J900399;239052158;140526/3;"Отримано на склад";"Ткалич М.Ю.";"Ткач Т.П.";26/05/2014p.;;;;;;
3681;ЦТП;"ВТС №1";Принтер;"Brother 5250";E63659G7J205813;472053612;140526/2;"Отримано на склад";"Ткалич М.Ю.";"Назаренко М.В.";26/05/2014p.;;;;;;
3675;"Цех ТП №10";;Принтер;"HP - 1320";CNCJCO6657;249052056;140522/1;"Отримано на склад";"Матвійчук А.";;22/05/2014p.;;;;;;
3655;ЦТП;радіофікація;Принтер;"Canon LBP-810";KMXC003733;;140513/1;"Отримано на склад";"Канюка Н.А.";Прудівус;13/05/2014p.;;;;;;
3570;"Цех ТП №12";Монастирище;Принтер;"EPSON FX 1180";AURY001737;471052876;140318/3;"Отримано на склад";"Канюка Н.А.";"Пугач І.П.";18/03/2014p.;;;;;;
3547;"Цех ТП №13";Сміла;Принтер;"HP Laser Jet 1020";CNC2F29049;233053077;140227/6;"В ремонті";"Канюка Н.А.";Пелих;27/02/2014p.;05/06/2014p.;"Матвійчук А.";;;;
3545;"Цех ТП №18";Чигирин;Принтер;"Laser Jet 1100 A";FRJR065473;471053241;140227/4;"Отримано на склад";"Канюка Н.А.";Козубенко;27/02/2014p.;;;;;;
3526;"Цех ТП №13";;Принтер;"Brother HL-5250";E63659C7J900393;476241048;140213/1;"Отримано на склад";"Канюка Н.А.";"Пелих В.В.";13/02/2014p.;;;;;;"Сипеться тонер з лівої частини принтера"
3504;"Цех ТП №18";Чигирин;Принтер;"Xerox Phaser 3120";3802184068;230052037;140124/1;"Отримано на склад";"Канюка Н.А.";Козубенко;24/01/2014p.;;;;;;
3498;"Цех ТП №13";Сміла;Принтер;"Xerox Phaser 3120";3802183894;233053053;140122/1;Відремонтовано;"Канюка Н.А.";Усатенко;22/01/2014p.;05/06/2014p.;"Матвійчук А.";;;;
3410;ЦІТіТЗ;"ТЗ та ОК";Принтер;"Brother - 5250";E63659C7J9000352;476241021;131111/1;"Отримано на склад";"Матвійчук А.";"Матвійчук А.В.";11/11/2013p.;;;;;;
3393;ЦТП;"ЦТЕ РФ";Принтер;"Xerox Phaser 3121";3823833139;471053769;131106/3;"Отримано на склад";"Канюка Н.А.";Прудівус;06/11/2013p.;;;;;;
3388;ЦТП;ОПТС;Принтер;"Kyocera-Mita FS-1010";XAL2Z56283;472000892-11;131104/1;"Отримано на склад";"Канюка Н.А.";Лисенко;04/11/2013p.;;;;;;
3303;"Цех ТП №14";Тальне;Принтер;LX-300;1YYY236237;231031003;130919/2;"Отримано на склад";"Канюка Н.А.";Різник;19/09/2013p.;;;;;;
3276;"Цех ТП №08";Катеринопіль;Принтер;"HP LaserJet 1020";CNCK645672;242052049;130829/3;"Отримано на склад";"Канюка Н.А.";Ротар;29/08/2013p.;;;;;;
3228;ЦТП;;Принтер;"Brother 5250";E63659G7J205813;472054683;130801/2;"Очікування запчастин";"Ткалич М.Ю.";Назаренко;01/08/2013p.;16/10/2013p.;"Ткалич М.Ю.";;;;
3045;"Цех ТП №08";Катеринопіль;Принтер;"EPSON LX-300+";CEFY237757;242052033;130403/2;"Отримано на склад";"Канюка Н.А.";"Гавриш М.І.";03/04/2013p.;;;;;;
3039;"Апарат філії";"Сектор ТМЦ";Принтер;"HP - 1180C";CN55ST50B;472053256;130329/2;"На складі відремонтовано";"Матвійчук А.";"Барабаш С. В.";29/03/2013p.;29/03/2013p.;"Матвійчук А.";;;;
2991;"Цех ТП №02";Драбів;Принтер;FC128;TTM14984;238000920;130228/1;"Отримано на склад";"Канюка Н.А.";"Мурашко В.І.";28/02/2013p.;;;;;;
2987;ЦІТіТЗ;;Принтер;"Canon LBP - 1120";"020522-11 CS8019N";471053698;130226/1;"Отримано на склад";"Матвійчук А.";;26/02/2013p.;;;;;;
2870;"Апарат філії";ППТОК;Принтер;"Canon LBP-810";KMXCOO3733;240586;130109/2;"Отримано на склад";"Матвійчук А.";;09/01/2013p.;;;;;;
2725;"Апарат філії";ВУМК;Принтер;"HP - 2550";;471053774;121015/1;"Отримано на склад";"Матвійчук А.";"Лесик Е. А.";15/10/2012p.;;;;;;
2656;ЦТП;"Розрах. группа";Принтер;"HP 1200";;479042080;120827/2;"Отримано на склад";"Кравець М. ";Прокофьева;27/08/2012p.;;;;;;
2576;ЦТП;;Принтер;;;;120622/9;"Отримано на склад";"Матвійчук А.";;22/06/2012p.;;;;;;
2577;ЦТП;;Принтер;"Samsung ML-1250";;477052035;120622/10;"Отримано на склад";"Матвійчук А.";;22/06/2012p.;;;;;;
2143;"Цех ТП №15";;Принтер;"Laser jet-1100";;244052046;110407/3;"Отримано на склад";;;"07.04.2011  ";"07.04.2011  ";;"            ";;;
